currentLocation,count
POINT (-1209.801145892734 2993.6850534071823),30
POINT (-1210.3610147505167 2377.388407807117),26
POINT (-1210.7422648733582 4265.921826300229),1
POINT (-1212.5017274462384 4936.964267226446),1
POINT (-1212.8402112553742 3294.820076441664),32
POINT (-1213.5049990750194 3378.128369851267),24
POINT (-1214.3090302410164 4944.571913065698),1
POINT (-1214.556789749031 5803.405026886527),1
POINT (-1215.0226206881084 3986.226566877643),2
POINT (-1215.1838672982808 3634.241016689522),55
POINT (-1216.2914009346728 4941.8481028272745),1
POINT (-1217.0952350634998 4936.302567446282),1
POINT (-1218.0484947359735 3213.228538710721),36
POINT (-1219.3575332548498 3387.294219472372),1
POINT (-1220.644558831565 3062.0058122699493),30
POINT (-1221.1177227396242 3008.5997338425304),35
POINT (-1221.4051100732 4941.00338419236),4
POINT (-1221.7521921300938 4424.107130892903),1
POINT (-1221.8846978893614 4947.937487194429),1
POINT (-1225.0703854340638 3499.7348054553504),35
POINT (-1225.304244503475 2991.0160306471216),48
POINT (-1225.5713740875356 3981.0797123804705),58
POINT (-1226.0335983358684 2995.2562131754303),1
POINT (-1227.6167117148686 5803.763070937812),1
POINT (-1228.3038784539344 4933.525504855664),3
POINT (-1228.6974508365315 4938.697378477349),2
POINT (-1229.208372616523 1579.6575513518549),3
POINT (-1229.4561246892436 4947.877260356456),1
POINT (-1230.2800729737107 3319.4323014799825),51
POINT (-1230.3858387614157 3079.8013896202624),26
POINT (-1230.803050882117 5803.85042596085),1
POINT (-1231.7319881481164 3467.740761780779),39
POINT (-1231.8320891955063 3500.083956993789),1
POINT (-1234.310832374475 3735.7379456710664),10
POINT (-1234.9998706508723 4939.657968794331),1
POINT (-1236.3228798101059 3672.7311519366017),1
POINT (-1236.9717407366056 5804.019543564493),1
POINT (-1239.982634682312 3726.8694245376755),7
POINT (-124.52436573832357 3975.084811292345),6
POINT (-1242.3659533460157 3226.103279105531),58
POINT (-1245.4847994343866 5804.252933169189),1
POINT (-1248.4609240293742 4423.919486619871),1
POINT (-1251.0133378188461 1574.2146456975256),3
POINT (-1251.1994497922349 3058.3861538128076),4
POINT (-1251.4132884084017 4424.037326058706),1
POINT (-1252.0791689976697 5015.3457395672685),1
POINT (-1255.9884588153034 2656.5856054895225),3
POINT (-1257.0083898790026 3232.233437428542),1
POINT (-1257.2961138532453 3052.084873050113),50
POINT (-1257.3806358859767 4263.604962450346),1
POINT (-1261.8002210356572 5190.078603240383),1
POINT (-1262.491757792136 1571.3494286978337),3
POINT (-1264.2298486353518 1570.915570427917),1
POINT (-1264.4692739162892 3673.9087762009117),1
POINT (-1267.8405721556787 5238.819929991719),11
POINT (-127.228089808867 1666.2906234137386),2
POINT (-1270.0247218990608 5804.420732984378),1
POINT (-1275.0132591831693 5248.064077146062),1
POINT (-1275.1089501177444 5804.277155140534),2
POINT (-1275.1917678903053 3244.6584232904074),28
POINT (-1278.0036550775478 5235.279150257189),10
POINT (-1280.5301878084938 3537.04015791116),27
POINT (-1282.305599946501 5245.758071431052),15
POINT (-1282.378671986311 5251.528430280955),16
POINT (-1284.0681379430175 4261.428591595001),1
POINT (-1285.2922463067762 3278.6449287620358),2
POINT (-1286.336077813878 3285.447656269636),51
POINT (-1287.2641353761978 3677.7545532142435),1
POINT (-1287.2680410579444 3677.8320800111196),2
POINT (-1287.3491783026525 5236.960859560035),14
POINT (-1288.4897479134727 5247.248981848683),14
POINT (-1288.6080197608417 5246.718661748034),11
POINT (-1288.973858577208 3711.692127221675),3
POINT (-1289.1504103862505 2570.634755374985),15
POINT (-1289.5785799183805 3723.6956932128205),2
POINT (-1290.0217994186726 3732.493488425408),1
POINT (-1290.6403152347996 5952.997070126488),41
POINT (-1290.7808880583605 3747.561206329913),1
POINT (-1291.2878242639026 3757.62376205968),4
POINT (-1291.672228039491 3765.25407998194),6
POINT (-1292.4459832673115 3550.9715000949054),1
POINT (-1292.7878857907087 3789.2068033239084),3
POINT (-1292.791831074787 3789.294690319397),4
POINT (-1293.6675471789124 3808.802552304437),1
POINT (-1295.1945501483049 3505.153319629454),35
POINT (-1295.6783722173868 3853.596632419944),1
POINT (-1298.6586860661182 4260.23872962775),1
POINT (-1300.4389151910277 2665.7464423448714),49
POINT (-1300.5005974065157 2697.286250559213),1
POINT (-1301.0783781355212 2681.9601886546184),35
POINT (-1302.2223592797159 5803.511476524366),2
POINT (-1302.2311198202112 4259.947396977417),1
POINT (-1302.8187905920922 5839.658254063805),38
POINT (-1304.865891237236 3861.6601643738563),1
POINT (-1305.4158279873186 4259.687683422253),2
POINT (-1306.255660848561 5995.335829470548),1
POINT (-1307.8705656279035 5803.351972022566),1
POINT (-1308.782036561594 3296.1784824962406),1
POINT (-1310.861852736133 2692.6034016285234),36
POINT (-1311.5587476221624 2561.2400714292203),39
POINT (-1312.6845873525954 5213.914415828656),1
POINT (-1313.184260467868 3296.323323780418),53
POINT (-1313.5020373780435 5803.1929401033085),1
POINT (-1317.8769440429232 3727.078804371119),35
POINT (-1318.5753009109376 1217.0169078188844),1
POINT (-1319.7960868165248 5803.015197089313),1
POINT (-1320.2719150452676 1567.0978918253973),2
POINT (-1324.4455789026817 2194.1490996132184),12
POINT (-1324.92710141723 1216.2892367801514),1
POINT (-1328.2822221058668 1566.9990222844508),1
POINT (-1328.493305037035 5802.7695889486395),1
POINT (-1328.614452264042 2191.428689360829),1
POINT (-133.09110926913144 1666.6949162351866),2
POINT (-133.37526873220492 4111.11260730294),9
POINT (-133.96331158240096 3975.4914684609225),7
POINT (-1333.0886323717586 2688.886124497062),1
POINT (-1333.8139986717683 5997.686270344027),1
POINT (-1336.5882074093379 3904.4779350882313),38
POINT (-1338.6352399471666 2154.9030760794763),33
POINT (-1338.6719765317941 2695.8276623978604),33
POINT (-1341.9863606635845 5802.388547077502),1
POINT (-1343.2588044841468 1566.814169467513),2
POINT (-1344.839178901843 2659.2021792112823),4
POINT (-1345.37085641503 1609.3959673738802),11
POINT (-1346.2052731481 1612.9091021450095),8
POINT (-1348.70383612451 4255.881891528063),1
POINT (-1348.869767586235 5979.254576762876),38
POINT (-1349.3596776839165 2567.781419621334),17
POINT (-1349.8842287593952 1610.4623628717086),3
POINT (-135.7936772057236 3415.6326140452566),26
POINT (-1350.688345439653 1990.3876347179978),31
POINT (-1351.8065031851245 2115.9050324614464),33
POINT (-1354.079496842148 1604.1720443594788),9
POINT (-1354.7760018008055 1603.9169920437566),17
POINT (-1359.3835055266122 2619.549130218945),2
POINT (-1359.6680659058231 4254.541215163538),1
POINT (-136.32660186621797 4741.2746268336405),1
POINT (-1360.0699368032374 1609.1538779590007),8
POINT (-1360.6783257380766 2559.16323147236),19
POINT (-1360.9905987829304 2108.804385379679),34
POINT (-1361.0006661216942 2065.6162438417405),41
POINT (-1361.3745261196493 4254.332553823771),3
POINT (-1361.6710002211673 1566.5869115950536),1
POINT (-1361.9151279818045 2659.6784234961224),1
POINT (-1362.0030692900027 2659.6808761589427),3
POINT (-1362.5682469408396 5801.807317689905),1
POINT (-1363.6746703562285 2605.1032262421472),24
POINT (-1364.9880146408761 4253.890706220199),1
POINT (-1365.3963317673674 2609.930612964088),37
POINT (-1368.3564720495933 4253.478820358369),2
POINT (-1373.1284802127796 5801.509098283052),1
POINT (-1379.5190041425997 1566.3666174239095),1
POINT (-1380.8368470962089 5979.519134795733),44
POINT (-1380.868695821612 5801.2397368159745),1
POINT (-1383.2276677926686 6001.900744684081),1
POINT (-1384.777144927974 1566.3017172943953),1
POINT (-1387.0900391253806 4635.40922836449),28
POINT (-1389.733859695731 3820.595112731895),47
POINT (-1394.1368291910871 4668.442933309888),44
POINT (-1394.3071753114707 4470.507897856502),7
POINT (-1395.0105726976412 3810.919525268514),1
POINT (-1397.177426276214 2186.3340847244535),36
POINT (-1398.3957137180148 4280.0291470642405),1
POINT (-1399.2756893292196 5800.589251195958),1
POINT (-140.13417662899712 3594.783028779292),70
POINT (-140.15955565775582 3603.0707659966456),1
POINT (-1400.4249072421705 2619.188270337511),1
POINT (-1400.9494345507308 4273.1218099121315),20
POINT (-1402.505350533175 4294.940718332381),13
POINT (-1403.8103454524935 4457.26433207949),1
POINT (-1403.8237705915544 5800.428526335671),1
POINT (-1404.2888757365668 1207.1974423043278),1
POINT (-1405.1332302534013 3856.4002625249536),1
POINT (-1406.4414272258414 2146.9787804386006),2
POINT (-1406.699880965383 5800.326887334224),5
POINT (-1406.7676836208832 2518.944736137566),27
POINT (-1408.9754669453816 2152.8950479975415),23
POINT (-1409.2686404033814 4294.471600902964),8
POINT (-1410.709113833228 4449.786452742794),11
POINT (-1411.031244733219 5800.173821063795),1
POINT (-1411.5427646426583 5800.155744437358),1
POINT (-1411.6432234572194 1206.3549180720588),1
POINT (-1412.1604095351931 4443.327065766173),7
POINT (-1412.5225417653362 5800.121120046968),1
POINT (-1412.6702208403192 4248.0602550042895),1
POINT (-1413.2561545952765 898.2120522402657),42
POINT (-1415.1604027249148 5800.0279005529155),1
POINT (-1415.9361776963287 6008.83920427439),1
POINT (-1418.1155807588502 4456.839300117369),15
POINT (-1418.6046446702949 3855.0228629041185),2
POINT (-1422.8753026578263 2066.5737215664585),25
POINT (-1423.5831222046177 1973.3137542599502),1
POINT (-1425.0373135113339 2004.631970219612),55
POINT (-1425.484648640178 5799.663051534926),1
POINT (-1429.0877118281621 5978.549892300147),37
POINT (-1429.353143612694 2580.035226082107),2
POINT (-1430.7484411588418 1976.1815826195873),37
POINT (-1431.0835359962373 2412.5176676963006),1
POINT (-1432.1866950238887 2490.8868534433077),1
POINT (-1432.2203115023028 2661.290374300776),1
POINT (-1432.4794028280699 3853.6042229577647),2
POINT (-1433.577707300243 2587.8384148863092),49
POINT (-1434.973262420595 1987.3098980394846),31
POINT (-1436.7396484852209 1991.45221093596),1
POINT (-1436.758236063943 2402.842544549952),46
POINT (-1438.2332547539638 2611.748276217267),49
POINT (-1438.7234830633947 3815.642678835274),25
POINT (-1439.5911041236159 2661.405848780632),3
POINT (-1439.737579233963 2699.318680612109),41
POINT (-1439.9430760430084 2473.1464529500436),32
POINT (-1442.7043528192528 2478.479664916662),36
POINT (-1442.810194625904 3852.5479397595122),1
POINT (-1444.6312408856834 4244.152147912815),1
POINT (-1445.1024248083008 1202.521785753404),1
POINT (-1445.5359169967742 2421.384615530726),35
POINT (-145.11056182500536 4144.762263634421),2
POINT (-1450.8738582961375 2691.5862913431774),1
POINT (-1453.0293307966801 4243.021825100794),1
POINT (-1453.6967347862599 5798.666063279289),1
POINT (-1455.3543483116982 5798.607484795986),3
POINT (-1455.6394789215026 2645.822143293767),39
POINT (-1457.1910793935217 3851.0775503398722),2
POINT (-1457.3885093196725 2674.8153128865742),26
POINT (-1457.9746473627677 5798.514885923055),1
POINT (-1458.6445648091592 5798.491211678518),1
POINT (-1460.1537460532932 955.2875318639223),38
POINT (-1463.6055691057998 5798.315894511461),1
POINT (-1465.5317533407115 5798.247824995067),1
POINT (-1465.5427387857774 1569.4044515907776),2
POINT (-1469.2464226435823 2634.3880196178034),2
POINT (-1469.5238232077897 6022.892897433496),3
POINT (-1469.919336393918 5996.044905792193),1
POINT (-147.63128821823037 4169.514223280939),2
POINT (-1472.3331197342177 4480.125710160363),12
POINT (-1473.1756324816884 954.9226790202229),1
POINT (-1473.590901147153 877.1033836945335),31
POINT (-1473.6876234174335 5980.677979507759),38
POINT (-1473.8191453397524 5797.954956454609),1
POINT (-1477.753917514858 5982.032801722768),25
POINT (-1482.3458765749003 4238.881335805634),1
POINT (-1483.254589161125 1571.1927406551754),2
POINT (-1484.1905801153478 3873.7595190601205),29
POINT (-1485.079631677474 5246.9437754904775),1
POINT (-1485.3478328018825 4475.28771380054),13
POINT (-1486.779509698837 4484.890332581627),7
POINT (-1487.49560729855 951.6054633507447),43
POINT (-1489.5517676249603 5797.3989805665615),2
POINT (-1490.0756676465332 5828.612628998194),1
POINT (-1494.1716781193954 5993.780812223189),1
POINT (-1496.2588926210124 4251.748915310947),12
POINT (-1497.2058706321964 978.3110915491427),35
POINT (-1497.4400062756617 5082.110660401991),43
POINT (-1499.9043260061567 4258.263943913515),1
POINT (-15.651786541402094 5148.732451737422),1
POINT (-1502.1499471205514 5797.893279166081),3
POINT (-1505.1261654678833 4497.814805102838),19
POINT (-1505.8735506885573 4757.466193572201),12
POINT (-1506.5811840261297 4244.544072812886),15
POINT (-1508.6027856408086 4259.5666879032215),9
POINT (-151.50263684304332 4113.7389722154),1
POINT (-1510.0654491326607 3812.242089996278),1
POINT (-1510.1094827073564 4487.389071527574),12
POINT (-1510.3094211447155 3818.6603865336024),1
POINT (-1510.9939590391289 3819.20860231421),2
POINT (-1511.2134253476415 3809.2728752189373),6
POINT (-1511.3503774441308 3826.705613790333),2
POINT (-1511.3957806621627 3824.474629071276),6
POINT (-1511.7645719761797 1896.827827854746),29
POINT (-1511.9728292711302 3807.062557163295),1
POINT (-1511.9869895654476 4245.62228850816),14
POINT (-1512.3894645041516 3827.471970029949),4
POINT (-1512.6350574513008 3817.050439031751),1
POINT (-1512.6811722117868 3871.1981672739585),1
POINT (-1513.014163725443 3822.6880357335554),2
POINT (-1513.0415257073928 3801.3401479306235),1
POINT (-1513.4719724358463 1574.2436593858415),1
POINT (-1513.821042104036 3823.0038793833005),2
POINT (-1514.1388112028512 3801.732034828513),3
POINT (-1515.2268412019516 3813.743073704682),3
POINT (-1515.2513101577322 5798.431017665411),1
POINT (-1516.1469243515814 3824.914740789508),1
POINT (-1517.2520614449006 5798.513137441166),2
POINT (-1517.5229136892553 3813.233940460665),4
POINT (-1517.7284294182639 5798.532689712055),2
POINT (-1517.8169812148617 2662.512377431637),1
POINT (-1517.861241334027 3818.8400189877075),5
POINT (-1518.3332249076561 3810.101064537772),1
POINT (-1518.6150113975111 3815.4607027937836),1
POINT (-1518.8445801711848 4772.525155499775),11
POINT (-1519.084505800655 3827.8862689936586),2
POINT (-1519.3702437168022 3807.221615008737),14
POINT (-1519.6169544972342 3823.8100233979812),1
POINT (-1519.6806081643003 3824.94707757775),2
POINT (-1519.7726973478877 3813.631830568305),4
POINT (-1520.2996666105255 3800.990530982661),3
POINT (-1520.8443434681367 3816.7662847348083),4
POINT (-1521.0934179629016 3803.211023965636),1
POINT (-1521.094609950573 3810.5182886391167),2
POINT (-1521.3118877810662 3808.756461511802),1
POINT (-1521.5513570632884 3816.110442957694),1
POINT (-1521.92635261757 4420.274930833114),1
POINT (-1522.1036582211982 4233.266190332797),4
POINT (-1522.5603224636693 5798.7310122001645),1
POINT (-1522.7378505912984 3807.7155175156895),3
POINT (-1523.0308438279585 3825.6220041779175),2
POINT (-1523.1037330075133 4420.204243754112),1
POINT (-1523.3586091383638 3818.6160963164543),1
POINT (-1523.9639233329897 3821.6673448474203),1
POINT (-1524.227967333817 3811.0313075860604),3
POINT (-1524.260202332101 3804.5572665446625),2
POINT (-1524.6246316789893 3807.8439068013217),3
POINT (-1524.9319421374519 3806.9837528970156),1
POINT (-1524.9573211662105 3815.271490114369),12
POINT (-1525.0701349854976 3816.758081463563),2
POINT (-1525.1420104925917 1575.4219327449612),2
POINT (-1525.2237523864228 3830.1067656061455),1
POINT (-1525.6957374012197 1994.5285187115571),45
POINT (-1525.9429317693443 2028.2117889609597),1
POINT (-1526.5072606552717 3816.2203934965123),2
POINT (-1526.8889347157697 5940.367229053723),69
POINT (-1526.9372331431534 5582.2951345645315),32
POINT (-1527.092855077489 3816.025881111653),3
POINT (-1527.1275555605914 2059.53529486834),19
POINT (-1527.3766859291693 3814.85917010615),1
POINT (-1527.3904804818017 3830.00306032934),1
POINT (-1527.5662095734574 3867.6965435034745),20
POINT (-1527.947717060589 3802.486563225496),2
POINT (-1527.9542304175316 3845.13623305779),1
POINT (-1528.166215802748 5798.961103119942),1
POINT (-1529.1968415618742 3827.352872049708),1
POINT (-1529.5611630544563 3829.8926262825294),4
POINT (-1529.6101550090832 3811.890592518961),1
POINT (-1529.7536120168543 5663.496583772971),2
POINT (-153.19710474207662 4243.868026153893),2
POINT (-153.88858502105174 4033.399869810901),1
POINT (-1530.0918788301894 5649.06197186827),33
POINT (-1530.540665326246 3822.2130280151673),2
POINT (-1530.6320212339162 3805.5963669680204),1
POINT (-1530.9266727070492 3844.9317687107637),1
POINT (-1530.9525097956712 3817.0717897717373),1
POINT (-1530.9701474069657 3805.6529728595124),3
POINT (-1531.1328847088653 5597.244219744858),2
POINT (-1531.464921969304 3826.4537447472107),1
POINT (-1531.760821412865 3813.226332067777),1
POINT (-1531.8034372550107 3810.2956290473285),1
POINT (-1531.8503890664065 3830.063264542857),2
POINT (-1531.8651368374524 3803.477597638313),1
POINT (-1531.985889602983 3811.9573425347),1
POINT (-1532.0056470968746 4609.362735830074),1
POINT (-1532.1710606390263 3814.520788684524),1
POINT (-1532.2217534614342 3801.840504387914),4
POINT (-1532.3474093979048 4231.819425682886),1
POINT (-1533.111177504219 3816.082256044511),1
POINT (-1533.1266644684506 3821.3595859103666),1
POINT (-1533.154973904588 3826.8423614259445),2
